Ação,Empresa,Preço,Data Preço,Data Dem.Financ.,Consolidação,ROTanC,ROInvC,RPL,ROA,Margem Líquida,Margem Bruta,Margem EBIT,Giro Ativo,Alav.Financ.,Passivo/PL,Preço/Lucro,Preço/VPA,Preço/Rec.Líq.,Preço/FCO,Preço/FCF,Preço/EBIT,Preço/NCAV,Preço/Ativo Total,Preço/Cap.Giro,EV/EBIT,EV/EBITDA,EV/Rec.Líq.,EV/FCF,EV/FCO,EV/Ativo Total,Div.Yield,Volume Financ.(R$),Market Cap(R$),# Ações Total,# Ações Ord.,# Ações Pref.
RRRP3,3R PETROLEUM,31.06,23/06/2023,31/03/2023,Consolidado,0.049408335569067,0.037996390361644,0.11954228562002,0.086905853474364,0.23655292046234,0.45020423505304,0.1070617536414,0.36738440305242,1.8594951278813,0.85949512788132,13.882528935047,1.469451644649,3.2839527629884,46.942874737077,-15.826770565763,30.673444542931,-1.8457244829799,0.79024226663248,23.193203160326,38.094140463124,15.438293112471,4.0784254814439,-19.655673824503,58.299564676351,0.9814222156518,0,227548279.90769,7451214703.82,239897447,239897447,0
TTEN3,3TENTOS,12.86,23/06/2023,31/03/2023,Consolidado,0,0,0,0,0.083484286735065,0.15440416323999,0.081136397341351,0,2.2396912472256,1.2396912472256,10.348550582338,2.2299743529603,0.86394136410826,9.7723221210816,-99.339796921265,10.64801238923,-3.1428614840442,0.99566150277307,4.2062691741929,11.23394931718,10.509102347534,0.9114821755113,-104.80624956082,10.31007172103,1.05045058649,0.0089551900466563,11727539.661538,6408107740.42,498297647,498297647,0
QVQP3B,524 PARTICIP,0,0,31/03/2023,Individual,-29.48,-29.48,-2.2407407407407,-2.2407407407407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4234183918,4234183918,0
EALT3,ACO ALTONA,8.22,23/06/2023,31/03/2023,Consolidado,0.098390170079833,0.12020599320819,0.18328515612592,0.069296962102849,0.072198702842485,0.21918416717065,0.11196012596192,0.95980896296756,2.4447759367927,1.4447759367927,5.3422876949739,0.87032427167105,0.38570624178848,2.6057369889261,7.9575768006194,3.4450322244161,-0.58310186863736,0.35599347104702,-18.207324276432,5.4785325783258,4.0779272097054,0.61337719755584,12.654698390844,4.143826256023,0.56612585942733,0.041759124087591,2328.3538461538,185077500,22500000,9750000,12750000
EALT4,ACO ALTONA,8.23,23/06/2023,31/03/2023,Consolidado,0.098390170079833,0.12020599320819,0.18328515612592,0.069296962102849,0.072198702842485,0.21918416717065,0.11196012596192,0.95980896296756,2.4447759367927,1.4447759367927,5.3487868284228,0.87138306032271,0.38617547079309,2.608906985263,7.9672575509851,3.4492232611855,-0.58381123830723,0.35642655312859,-18.229474305966,5.4785325783258,4.0779272097054,0.61337719755584,12.654698390844,4.143826256023,0.56612585942733,0.045882138517618,125216.53846154,185077500,22500000,9750000,12750000
AERI3,AERIS,1.5,23/06/2023,31/03/2023,Consolidado,0.096801814305509,0.097347128473761,-0.11671422542853,-0.037402819032899,-0.042030319027493,0.13107658707774,0.092150391697057,0.88990090721019,3.8127347553907,2.8127347553907,-9.8942001532359,1.332390660793,0.41585638896237,-13.931322609971,-6.9265781388427,4.5128010994188,-0.80950696799079,0.34945799964426,1.1419125969833,8.3796339877493,6.8927684566143,0.77218655424907,-12.861676885897,-25.868497606032,0.64889412730532,0,6505861.2307692,1149320184,766213456,766213456,0
AESB3,AES BRASIL,12.39,23/06/2023,31/03/2023,Consolidado,0.05100838515327,0.053817548358024,0.038774904325783,0.0099918113238055,0.042836012861736,0.3316425791166,0.25992418344898,0.2332572678054,4.548658289529,3.548658289529,58.92808400264,1.6943630015133,2.5242441642545,26.291151122944,-2.1856762864619,9.7114632842543,-0.60220610472208,0.3724973153982,2.3050516568916,25.08850021133,14.845320616116,6.5211079313894,-5.6464549542914,67.920305230783,0.96230595766548,0.0086723649677159,28344167.292308,7457879383.29,601927311,601927311,0
AFLT3,AFLUENTE T,9.55,23/06/2023,31/03/2023,Individual,0.10444519110282,0.1119144412207,0.15306648141065,0.13997937018385,0.4895643490201,0.59725377605792,0.49973786044189,0.28592639652791,1.1366142385632,0.13661423856324,15.361476580229,2.2217533605001,7.5204312819873,38.466463414634,44.178466671556,15.048752310536,28.470381834507,1.9547118847539,10.350509397657,14.576881775491,14.508027172832,7.2846197103982,42.793201217277,37.260304239561,1.8934196976088,0.062227896984293,3784.4461538462,602458885,63084700,63084700,0
GRAO3,AGRIBRASIL,0,0,31/03/2023,Consolidado,0.058771307528465,0.089178707150675,-0.06243586761708,-0.0078907417141592,-0.0026608468355689,0.02117045191832,0.012200479809546,2.9655001590771,6.568025595886,5.568025595886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000000,88000000,0
AGXY3,AGROGALAXY,6.19,23/06/2023,31/03/2023,Consolidado,0.24588134672908,0.15335293106288,0.12956986753904,0.020233458352822,0.016167183336721,0.1357407567162,0.051614835405845,1.2515141278114,7.6978986805669,6.6978986805669,5.8227881469508,0.73295372238877,0.094138083502642,-3.5220004793341,-2.9743708458085,1.8238570899711,-0.12029026947398,0.095214779097975,1.2121149769993,4.2200010381983,3.5166513567383,0.2178146589991,-6.8820348514793,-8.1491284383254,0.22030589395118,0.0064066725363489,403719.29230769,1057406681.91,170824989,170824989,0
